parameter,problem,a,b,observed_difference,simultaneous_difference_bounds,beyond_10pp_supported,original_cell_parse_eligible
RT,S2,hybrid,paraphrase_2,0.06,"[-0.15367868342393584, 0.2665351456005038]",False,True
RT,S2,hybrid,paraphrase_3,0.019999999999999997,"[-0.2321028606249764, 0.2661200060865286]",False,True
RT,S2,paraphrase_1,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
RT,S2,paraphrase_1,paraphrase_3,-0.04,"[-0.23436057058602933, 0.15552125387101354]",False,True
RT,S2,paraphrase_2,paraphrase_3,-0.04,"[-0.23436057058602933, 0.15552125387101354]",False,True
RT,S3,hybrid,paraphrase_1,-0.13999999999999996,"[-0.5956458328463186, 0.3625692976158099]",False,True
RT,S3,hybrid,paraphrase_2,-0.08000000000000002,"[-0.5494156394521914, 0.416220671934125]",False,True
RT,S3,hybrid,paraphrase_3,-0.03999999999999998,"[-0.5168170472520817, 0.45021956349304837]",False,True
RT,S3,paraphrase_1,paraphrase_2,0.05999999999999994,"[-0.4291667813748432, 0.5290483490872855]",False,True
RT,S3,paraphrase_1,paraphrase_3,0.09999999999999998,"[-0.39656818917473347, 0.5630472406462088]",False,True
RT,S3,paraphrase_2,paraphrase_3,0.040000000000000036,"[-0.45021956349304854, 0.5168170472520817]",False,True
MoR,S1,hybrid,paraphrase_1,-0.040000000000000036,"[-0.23436057058602922, 0.15552125387101357]",False,True
MoR,S1,hybrid,paraphrase_2,-0.020000000000000018,"[-0.2343564034939568, 0.19820582733818048]",False,True
MoR,S1,hybrid,paraphrase_3,-0.020000000000000018,"[-0.2343564034939568, 0.19820582733818048]",False,True
MoR,S1,paraphrase_1,paraphrase_2,0.020000000000000018,"[-0.15593222629291636, 0.1986209668521557]",False,True
MoR,S1,paraphrase_1,paraphrase_3,0.020000000000000018,"[-0.15593222629291636, 0.1986209668521557]",False,True
MoR,S1,paraphrase_2,paraphrase_3,0.0,"[-0.19861679976008328, 0.19861679976008328]",False,True
MoR,S2,hybrid,paraphrase_1,0.020000000000000018,"[-0.45247385404145385, 0.48575487490597613]",False,False
MoR,S2,hybrid,paraphrase_2,-0.12,"[-0.5777228125801797, 0.3779573757092799]",False,False
MoR,S2,hybrid,paraphrase_3,-0.4741666666666666,"[-0.8111447350676442, 0.06184982955507068]",False,False
MoR,S2,paraphrase_1,paraphrase_2,-0.14,"[-0.5920159542486682, 0.35896949651324617]",False,False
MoR,S2,paraphrase_1,paraphrase_3,-0.49416666666666664,"[-0.8254378767361327, 0.04286195035903695]",False,False
MoR,S2,paraphrase_2,paraphrase_3,-0.35416666666666663,"[-0.7176403775394364, 0.1681109088977627]",False,False
MoR,S3,hybrid,paraphrase_1,-0.17999999999999994,"[-0.49191227461833353, 0.1932566624630926]",False,True
MoR,S3,hybrid,paraphrase_2,-0.24,"[-0.49416998457938643, 0.08265791024757763]",False,True
MoR,S3,hybrid,paraphrase_3,-0.14,"[-0.48336346878121583, 0.25126702551085045]",False,True
MoR,S3,paraphrase_1,paraphrase_2,-0.06000000000000005,"[-0.26653514560050373, 0.15367868342393587]",False,True
MoR,S3,paraphrase_1,paraphrase_3,0.039999999999999925,"[-0.25572862980233313, 0.3222877986872087]",False,True
MoR,S3,paraphrase_2,paraphrase_3,0.09999999999999998,"[-0.14512987758681817, 0.3245455086482616]",False,True
RE,S1,hybrid,paraphrase_1,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
RE,S1,hybrid,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
RE,S1,hybrid,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
RE,S1,paraphrase_1,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
RE,S1,paraphrase_1,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
RE,S1,paraphrase_2,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
